,game_id,outcomes
1178,8660,LOSS
1179,8661,LOSS
1180,8662,WIN
1181,8663,WIN
1182,8664,LOSS
1183,8665,LOSS
1184,8666,LOSS
1185,8667,WIN
1186,8668,LOSS
1187,8669,WIN
1188,8670,WIN
1189,8671,WIN
1190,8672,LOSS
1191,8673,LOSS
1192,8674,LOSS
1193,8675,LOSS
1194,8676,WIN
1195,8677,LOSS
1196,8678,LOSS
1197,8679,WIN
1198,8680,LOSS
1199,8681,WIN
1200,8682,WIN
1201,8683,LOSS
1202,8684,LOSS
1203,8685,WIN
1204,8686,LOSS
1205,8687,WIN
1206,8688,WIN
1207,8689,WIN
1208,8690,LOSS
1209,8691,WIN
1210,8692,WIN
1211,8693,WIN
1212,8694,LOSS
1213,8695,LOSS
1214,8696,WIN
1215,8697,WIN
1216,8698,WIN
1217,8699,WIN
1218,8700,WIN
1219,8701,LOSS
1220,8702,LOSS
1221,8703,LOSS
1222,8704,WIN
1223,8705,WIN
1224,8706,WIN
1225,8707,WIN
1226,8708,LOSS
1227,8709,LOSS
1228,8710,LOSS
1229,8711,LOSS
1230,8712,WIN
1231,8713,LOSS
1232,8714,LOSS
1233,8715,WIN
1234,8716,WIN
1235,8717,WIN
1236,8718,LOSS
1237,8719,WIN
1238,8720,WIN
1239,8721,WIN
1240,8722,WIN
1241,8723,WIN
1242,8724,LOSS
1243,8725,WIN
1244,8726,WIN
1245,8727,WIN
1246,8728,WIN
1247,8729,WIN
1248,8730,LOSS
1249,8731,LOSS
1250,8732,LOSS
1251,8733,WIN
1252,8734,LOSS
1253,8735,LOSS
1254,8736,WIN
1255,8737,LOSS
1256,8738,WIN
1257,8739,WIN
1258,8740,WIN
1259,8741,LOSS
1260,8742,WIN
1261,8743,WIN
1262,8744,WIN
1263,8745,WIN
1264,8746,LOSS
1265,8747,WIN
1266,8748,WIN
1267,8749,WIN
1268,8750,LOSS
1269,8751,WIN
1270,8752,WIN
1271,8753,WIN
1272,8754,WIN
1273,8755,WIN
1274,8756,LOSS
1275,8757,WIN
1276,8758,LOSS
1277,8759,LOSS
1278,8760,LOSS
1279,8761,LOSS
1280,8762,WIN
1281,8763,LOSS
1282,8764,WIN
1283,8765,LOSS
1284,8766,WIN
1285,8767,WIN
1286,8768,LOSS
1287,8769,LOSS
1288,8770,WIN
1289,8771,LOSS
1290,8772,LOSS
1291,8773,WIN
1292,8774,WIN
1293,8775,LOSS
1294,8776,WIN
1295,8777,WIN
1296,8778,LOSS
1297,8779,LOSS
1298,8780,WIN
1299,8781,WIN
1300,8782,LOSS
1301,8783,LOSS
1302,8784,WIN
1303,8785,WIN
1304,8786,WIN
1305,8787,LOSS
1306,8788,WIN
1307,8789,WIN
1308,8790,WIN
1309,8791,WIN
1310,8792,LOSS
1311,8793,WIN
1312,8794,LOSS
1313,8795,WIN
1314,8796,LOSS
1315,8797,LOSS
1316,8798,WIN
1317,8799,WIN
1318,8800,WIN
